2020-07-22 16:50:51 _internal.py [line:113] INFO:  * Restarting with stat
2020-07-22 16:51:05 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '122.226.57.70', 'port': '8888', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '浙江省金华市  电信', 'score': 48, 'disable_domains': ['taobao.com']}
2020-07-22 16:51:06 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.11.29.54', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省商丘市  电信', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:06 mongo_pool.py [line:48] INFO: 插入新代理：{'ip': '45.80.104.15', 'port': '8085', 'protocol_type': 0, 'anonymous_type': 2, 'idle': 5.75, 'area': 'SSL高匿_欧盟', 'score': 50, 'disable_domains': [], '_id': '45.80.104.15'}
2020-07-22 16:51:06 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '131.196.253.10', 'port': '3128', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_欧洲', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:08 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.13', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 45, 'disable_domains': []}
2020-07-22 16:51:08 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '39.107.224.201', 'port': '8118', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': 'SSL高匿_北京市阿里云', 'score': 48, 'disable_domains': []}
2020-07-22 16:51:10 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '171.11.29.54', 'port': '9999', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '河南省商丘市  电信', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:11 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.45', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 42, 'disable_domains': []}
2020-07-22 16:51:11 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '45.80.104.55', 'port': '8085', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '高匿_欧盟', 'score': 41, 'disable_domains': []}
2020-07-22 16:51:11 mongo_pool.py [line:54] INFO: 更新代理IP为：{'ip': '27.113.241.87', 'port': '8080', 'protocol_type': -1, 'anonymous_type': -1, 'idle': -1, 'area': '澳大利亚', 'score': 41, 'disable_domains': []}
